"Name","Pokemon","Move Set","Win Rate","Pick Rate","Role","Move 1","Move 2","Battle Item","Pick Rate","Win Rate"
"Absol","Pokemon/Absol.png","Pursuit/Psycho Cut","51.77","10.17","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Psycho Cut.png","Battle_Items/Full Heal.png","38.73","53.53"
"Absol","Pokemon/Absol.png","Pursuit/Psycho Cut","51.77","10.17","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Psycho Cut.png","Battle_Items/Eject Button.png","29.07","51.45"
"Absol","Pokemon/Absol.png","Pursuit/Psycho Cut","51.77","10.17","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Psycho Cut.png","Battle_Items/X Attack.png","11.72","54.76"
"Absol","Pokemon/Absol.png","Pursuit/Sucker Punch","49.97","8.44","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Sucker Punch.png","Battle_Items/Full Heal.png","32.5","53.09"
"Absol","Pokemon/Absol.png","Pursuit/Sucker Punch","49.97","8.44","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Sucker Punch.png","Battle_Items/Eject Button.png","31.56","48.51"
"Absol","Pokemon/Absol.png","Pursuit/Sucker Punch","49.97","8.44","Speedster","Moves/Absol - Pursuit.png","Moves/Absol - Sucker Punch.png","Battle_Items/X Speed.png","11.44","46.49"
"Absol","Pokemon/Absol.png","Night Slash/Psycho Cut","48.54","3.76","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Psycho Cut.png","Battle_Items/Eject Button.png","31.78","45.39"
"Absol","Pokemon/Absol.png","Night Slash/Psycho Cut","48.54","3.76","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Psycho Cut.png","Battle_Items/Full Heal.png","23.76","54.17"
"Absol","Pokemon/Absol.png","Night Slash/Psycho Cut","48.54","3.76","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Psycho Cut.png","Battle_Items/X Speed.png","14.75","48.55"
"Absol","Pokemon/Absol.png","Night Slash/Sucker Punch","46.78","0.65","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Sucker Punch.png","Battle_Items/Eject Button.png","26.24","45.45"
"Absol","Pokemon/Absol.png","Night Slash/Sucker Punch","46.78","0.65","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Sucker Punch.png","Battle_Items/Potion.png","25.0","50.62"
"Absol","Pokemon/Absol.png","Night Slash/Sucker Punch","46.78","0.65","Speedster","Moves/Absol - Night Slash.png","Moves/Absol - Sucker Punch.png","Battle_Items/X Speed.png","16.91","42.33"
"Aegislash","Pokemon/Aegislash.png","Sacred Sword/Wide Guard","49.79","9.82","All-Rounder","Moves/Aegislash - Sacred Sword.png","Moves/Aegislash - Wide Guard.png","Battle_Items/Potion.png","55.12","50.54"
"Aegislash","Pokemon/Aegislash.png","Sacred Sword/Wide Guard","49.79","9.82","All-Rounder","Moves/Aegislash - Sacred Sword.png","Moves/Aegislash - Wide Guard.png","Battle_Items/Full Heal.png","20.05","52.79"
"Aegislash","Pokemon/Aegislash.png","Sacred Sword/Wide Guard","49.79","9.82","All-Rounder","Moves/Aegislash - Sacred Sword.png","Moves/Aegislash - Wide Guard.png","Battle_Items/Eject Button.png","11.56","44.8"
"Aegislash","Pokemon/Aegislash.png","Shadow Claw/Wide Guard","49.24","6.21","All-Rounder","Moves/Aegislash - Shadow Claw.png","Moves/Aegislash - Wide Guard.png","Battle_Items/Potion.png","48.77","48.93"
"Aegislash","Pokemon/Aegislash.png","Shadow Claw/Wide Guard","49.24","6.21","All-Rounder","Moves/Aegislash - Shadow Claw.png","Moves/Aegislash - Wide Guard.png","Battle_Items/Eject Button.png","17.0","49.65"
"Aegislash","Pokemon/Aegislash.png","Shadow Claw/Wide Guard","49.24","6.21","All-Rounder","Moves/Aegislash - Shadow Claw.png","Moves/Aegislash - Wide Guard.png","Battle_Items/Full Heal.png","16.21","51.93"
"Aegislash","Pokemon/Aegislash.png","Shadow Claw/Iron Head","45.13","0.55","All-Rounder","Moves/Aegislash - Shadow Claw.png","Moves/Aegislash - Iron Head.png","Battle_Items/Potion.png","44.89","45.8"
"Aegislash","Pokemon/Aegislash.png","Shadow Claw/Iron Head","45.13","0.55","All-Rounder","Moves/Aegislash - Shadow Claw.png","Moves/Aegislash - Iron Head.png","Battle_Items/Eject Button.png","15.45","44.88"
"Aegislash","Pokemon/Aegislash.png","Shadow Claw/Iron Head","45.13","0.55","All-Rounder","Moves/Aegislash - Shadow Claw.png","Moves/Aegislash - Iron Head.png","Battle_Items/Full Heal.png","13.5","49.55"
"Aegislash","Pokemon/Aegislash.png","Sacred Sword/Iron Head","43.33","0.2","All-Rounder","Moves/Aegislash - Sacred Sword.png","Moves/Aegislash - Iron Head.png","Battle_Items/Potion.png","42.33","43.31"
"Aegislash","Pokemon/Aegislash.png","Sacred Sword/Iron Head","43.33","0.2","All-Rounder","Moves/Aegislash - Sacred Sword.png","Moves/Aegislash - Iron Head.png","Battle_Items/Eject Button.png","18.33","38.18"
"Aegislash","Pokemon/Aegislash.png","Sacred Sword/Iron Head","43.33","0.2","All-Rounder","Moves/Aegislash - Sacred Sword.png","Moves/Aegislash - Iron Head.png","Battle_Items/X Speed.png","13.0","41.03"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Avalanche/Blizzard","48.82","10.91","Attacker","Moves/Alolan Ninetales - Avalanche.png","Moves/Alolan Ninetales - Blizzard.png","Battle_Items/Eject Button.png","60.24","50.13"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Avalanche/Blizzard","48.82","10.91","Attacker","Moves/Alolan Ninetales - Avalanche.png","Moves/Alolan Ninetales - Blizzard.png","Battle_Items/X Speed.png","24.56","46.83"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Avalanche/Blizzard","48.82","10.91","Attacker","Moves/Alolan Ninetales - Avalanche.png","Moves/Alolan Ninetales - Blizzard.png","Battle_Items/Potion.png","9.16","46.14"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Dazzling Gleam/Aurora Veil","51.33","1.54","Attacker","Moves/Alolan Ninetales - Dazzling Gleam.png","Moves/Alolan Ninetales - Aurora Veil.png","Battle_Items/Eject Button.png","56.5","52.92"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Dazzling Gleam/Aurora Veil","51.33","1.54","Attacker","Moves/Alolan Ninetales - Dazzling Gleam.png","Moves/Alolan Ninetales - Aurora Veil.png","Battle_Items/X Attack.png","22.25","50.2"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Dazzling Gleam/Aurora Veil","51.33","1.54","Attacker","Moves/Alolan Ninetales - Dazzling Gleam.png","Moves/Alolan Ninetales - Aurora Veil.png","Battle_Items/X Speed.png","12.52","47.57"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Dazzling Gleam/Blizzard","44.24","0.41","Attacker","Moves/Alolan Ninetales - Dazzling Gleam.png","Moves/Alolan Ninetales - Blizzard.png","Battle_Items/X Speed.png","35.36","46.05"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Dazzling Gleam/Blizzard","44.24","0.41","Attacker","Moves/Alolan Ninetales - Dazzling Gleam.png","Moves/Alolan Ninetales - Blizzard.png","Battle_Items/Eject Button.png","31.25","45.79"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Dazzling Gleam/Blizzard","44.24","0.41","Attacker","Moves/Alolan Ninetales - Dazzling Gleam.png","Moves/Alolan Ninetales - Blizzard.png","Battle_Items/Potion.png","22.37","40.44"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Avalanche/Aurora Veil","48.32","0.22","Attacker","Moves/Alolan Ninetales - Avalanche.png","Moves/Alolan Ninetales - Aurora Veil.png","Battle_Items/Eject Button.png","44.04","43.75"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Avalanche/Aurora Veil","48.32","0.22","Attacker","Moves/Alolan Ninetales - Avalanche.png","Moves/Alolan Ninetales - Aurora Veil.png","Battle_Items/X Attack.png","22.02","45.83"
"Alolan Ninetales","Pokemon/Alolan Ninetales.png","Avalanche/Aurora Veil","48.32","0.22","Attacker","Moves/Alolan Ninetales - Avalanche.png","Moves/Alolan Ninetales - Aurora Veil.png","Battle_Items/X Speed.png","20.8","51.47"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Electro Ball/Thunderbolt","51.98","4.04","Attacker","Moves/Alolan Raichu - Electro Ball.png","Moves/Alolan Raichu - Thunderbolt.png","Battle_Items/Eject Button.png","68.29","53.49"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Electro Ball/Thunderbolt","51.98","4.04","Attacker","Moves/Alolan Raichu - Electro Ball.png","Moves/Alolan Raichu - Thunderbolt.png","Battle_Items/X Speed.png","18.67","48.84"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Electro Ball/Thunderbolt","51.98","4.04","Attacker","Moves/Alolan Raichu - Electro Ball.png","Moves/Alolan Raichu - Thunderbolt.png","Battle_Items/X Attack.png","6.06","45.48"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Electro Ball/Psychic","49.58","0.95","Attacker","Moves/Alolan Raichu - Electro Ball.png","Moves/Alolan Raichu - Psychic.png","Battle_Items/Eject Button.png","56.5","51.75"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Electro Ball/Psychic","49.58","0.95","Attacker","Moves/Alolan Raichu - Electro Ball.png","Moves/Alolan Raichu - Psychic.png","Battle_Items/X Speed.png","24.08","48.39"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Electro Ball/Psychic","49.58","0.95","Attacker","Moves/Alolan Raichu - Electro Ball.png","Moves/Alolan Raichu - Psychic.png","Battle_Items/X Attack.png","8.69","37.4"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Stored Power/Psychic","52.02","13.99","Attacker","Moves/Alolan Raichu - Stored Power.png","Moves/Alolan Raichu - Psychic.png","Battle_Items/Eject Button.png","47.33","53.97"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Stored Power/Psychic","52.02","13.99","Attacker","Moves/Alolan Raichu - Stored Power.png","Moves/Alolan Raichu - Psychic.png","Battle_Items/X Speed.png","24.37","49.99"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Stored Power/Psychic","52.02","13.99","Attacker","Moves/Alolan Raichu - Stored Power.png","Moves/Alolan Raichu - Psychic.png","Battle_Items/X Attack.png","20.76","51.68"
"Alolan Raichu","Pokemon/Alolan Raichu.png","Stored Power/Thunderbolt","48.37","7.41","Attacker","Moves/Alolan Raichu - Stored Power.png","Moves/Alolan Raichu - Thunderbolt.png","Battle_Items/Eject Button.png","45.04","48.82"
