"Name","Pokemon","Move Set","Win Rate","Pick Rate","Role","Move 1","Move 2","Battle Item","Pick Rate","Win Rate"
"Absol","images/Pokemon/Absol.png","Pursuit/Psycho Cut","51.77","10.17","Speedster","images/Moves/Absol - Pursuit.png","images/Moves/Absol - Psycho Cut.png","images/Battle_Items/Full Heal.png","38.73","53.53"
"Absol","images/Pokemon/Absol.png","Pursuit/Psycho Cut","51.77","10.17","Speedster","images/Moves/Absol - Pursuit.png","images/Moves/Absol - Psycho Cut.png","images/Battle_Items/Eject Button.png","29.07","51.45"
"Absol","images/Pokemon/Absol.png","Pursuit/Psycho Cut","51.77","10.17","Speedster","images/Moves/Absol - Pursuit.png","images/Moves/Absol - Psycho Cut.png","images/Battle_Items/X Attack.png","11.72","54.76"
"Absol","images/Pokemon/Absol.png","Pursuit/Sucker Punch","49.97","8.44","Speedster","images/Moves/Absol - Pursuit.png","images/Moves/Absol - Sucker Punch.png","images/Battle_Items/Full Heal.png","32.5","53.09"
"Absol","images/Pokemon/Absol.png","Pursuit/Sucker Punch","49.97","8.44","Speedster","images/Moves/Absol - Pursuit.png","images/Moves/Absol - Sucker Punch.png","images/Battle_Items/Eject Button.png","31.56","48.51"
"Absol","images/Pokemon/Absol.png","Pursuit/Sucker Punch","49.97","8.44","Speedster","images/Moves/Absol - Pursuit.png","images/Moves/Absol - Sucker Punch.png","images/Battle_Items/X Speed.png","11.44","46.49"
"Absol","images/Pokemon/Absol.png","Night Slash/Psycho Cut","48.54","3.76","Speedster","images/Moves/Absol - Night Slash.png","images/Moves/Absol - Psycho Cut.png","images/Battle_Items/Eject Button.png","31.78","45.39"
"Absol","images/Pokemon/Absol.png","Night Slash/Psycho Cut","48.54","3.76","Speedster","images/Moves/Absol - Night Slash.png","images/Moves/Absol - Psycho Cut.png","images/Battle_Items/Full Heal.png","23.76","54.17"
"Absol","images/Pokemon/Absol.png","Night Slash/Psycho Cut","48.54","3.76","Speedster","images/Moves/Absol - Night Slash.png","images/Moves/Absol - Psycho Cut.png","images/Battle_Items/X Speed.png","14.75","48.55"
"Absol","images/Pokemon/Absol.png","Night Slash/Sucker Punch","46.78","0.65","Speedster","images/Moves/Absol - Night Slash.png","images/Moves/Absol - Sucker Punch.png","images/Battle_Items/Eject Button.png","26.24","45.45"
"Absol","images/Pokemon/Absol.png","Night Slash/Sucker Punch","46.78","0.65","Speedster","images/Moves/Absol - Night Slash.png","images/Moves/Absol - Sucker Punch.png","images/Battle_Items/Potion.png","25.0","50.62"
"Absol","images/Pokemon/Absol.png","Night Slash/Sucker Punch","46.78","0.65","Speedster","images/Moves/Absol - Night Slash.png","images/Moves/Absol - Sucker Punch.png","images/Battle_Items/X Speed.png","16.91","42.33"
"Aegislash","images/Pokemon/Aegislash.png","Sacred Sword/Wide Guard","49.79","9.82","All-Rounder","images/Moves/Aegislash - Sacred Sword.png","images/Moves/Aegislash - Wide Guard.png","images/Battle_Items/Potion.png","55.12","50.54"
"Aegislash","images/Pokemon/Aegislash.png","Sacred Sword/Wide Guard","49.79","9.82","All-Rounder","images/Moves/Aegislash - Sacred Sword.png","images/Moves/Aegislash - Wide Guard.png","images/Battle_Items/Full Heal.png","20.05","52.79"
"Aegislash","images/Pokemon/Aegislash.png","Sacred Sword/Wide Guard","49.79","9.82","All-Rounder","images/Moves/Aegislash - Sacred Sword.png","images/Moves/Aegislash - Wide Guard.png","images/Battle_Items/Eject Button.png","11.56","44.8"
"Aegislash","images/Pokemon/Aegislash.png","Shadow Claw/Wide Guard","49.24","6.21","All-Rounder","images/Moves/Aegislash - Shadow Claw.png","images/Moves/Aegislash - Wide Guard.png","images/Battle_Items/Potion.png","48.77","48.93"
"Aegislash","images/Pokemon/Aegislash.png","Shadow Claw/Wide Guard","49.24","6.21","All-Rounder","images/Moves/Aegislash - Shadow Claw.png","images/Moves/Aegislash - Wide Guard.png","images/Battle_Items/Eject Button.png","17.0","49.65"
"Aegislash","images/Pokemon/Aegislash.png","Shadow Claw/Wide Guard","49.24","6.21","All-Rounder","images/Moves/Aegislash - Shadow Claw.png","images/Moves/Aegislash - Wide Guard.png","images/Battle_Items/Full Heal.png","16.21","51.93"
"Aegislash","images/Pokemon/Aegislash.png","Shadow Claw/Iron Head","45.13","0.55","All-Rounder","images/Moves/Aegislash - Shadow Claw.png","images/Moves/Aegislash - Iron Head.png","images/Battle_Items/Potion.png","44.89","45.8"
"Aegislash","images/Pokemon/Aegislash.png","Shadow Claw/Iron Head","45.13","0.55","All-Rounder","images/Moves/Aegislash - Shadow Claw.png","images/Moves/Aegislash - Iron Head.png","images/Battle_Items/Eject Button.png","15.45","44.88"
"Aegislash","images/Pokemon/Aegislash.png","Shadow Claw/Iron Head","45.13","0.55","All-Rounder","images/Moves/Aegislash - Shadow Claw.png","images/Moves/Aegislash - Iron Head.png","images/Battle_Items/Full Heal.png","13.5","49.55"
"Aegislash","images/Pokemon/Aegislash.png","Sacred Sword/Iron Head","43.33","0.2","All-Rounder","images/Moves/Aegislash - Sacred Sword.png","images/Moves/Aegislash - Iron Head.png","images/Battle_Items/Potion.png","42.33","43.31"
"Aegislash","images/Pokemon/Aegislash.png","Sacred Sword/Iron Head","43.33","0.2","All-Rounder","images/Moves/Aegislash - Sacred Sword.png","images/Moves/Aegislash - Iron Head.png","images/Battle_Items/Eject Button.png","18.33","38.18"
"Aegislash","images/Pokemon/Aegislash.png","Sacred Sword/Iron Head","43.33","0.2","All-Rounder","images/Moves/Aegislash - Sacred Sword.png","images/Moves/Aegislash - Iron Head.png","images/Battle_Items/X Speed.png","13.0","41.03"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Avalanche/Blizzard","48.82","10.91","Attacker","images/Moves/Alolan Ninetales - Avalanche.png","images/Moves/Alolan Ninetales - Blizzard.png","images/Battle_Items/Eject Button.png","60.24","50.13"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Avalanche/Blizzard","48.82","10.91","Attacker","images/Moves/Alolan Ninetales - Avalanche.png","images/Moves/Alolan Ninetales - Blizzard.png","images/Battle_Items/X Speed.png","24.56","46.83"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Avalanche/Blizzard","48.82","10.91","Attacker","images/Moves/Alolan Ninetales - Avalanche.png","images/Moves/Alolan Ninetales - Blizzard.png","images/Battle_Items/Potion.png","9.16","46.14"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Dazzling Gleam/Aurora Veil","51.33","1.54","Attacker","images/Moves/Alolan Ninetales - Dazzling Gleam.png","images/Moves/Alolan Ninetales - Aurora Veil.png","images/Battle_Items/Eject Button.png","56.5","52.92"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Dazzling Gleam/Aurora Veil","51.33","1.54","Attacker","images/Moves/Alolan Ninetales - Dazzling Gleam.png","images/Moves/Alolan Ninetales - Aurora Veil.png","images/Battle_Items/X Attack.png","22.25","50.2"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Dazzling Gleam/Aurora Veil","51.33","1.54","Attacker","images/Moves/Alolan Ninetales - Dazzling Gleam.png","images/Moves/Alolan Ninetales - Aurora Veil.png","images/Battle_Items/X Speed.png","12.52","47.57"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Dazzling Gleam/Blizzard","44.24","0.41","Attacker","images/Moves/Alolan Ninetales - Dazzling Gleam.png","images/Moves/Alolan Ninetales - Blizzard.png","images/Battle_Items/X Speed.png","35.36","46.05"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Dazzling Gleam/Blizzard","44.24","0.41","Attacker","images/Moves/Alolan Ninetales - Dazzling Gleam.png","images/Moves/Alolan Ninetales - Blizzard.png","images/Battle_Items/Eject Button.png","31.25","45.79"
"Alolan Ninetales","images/Pokemon/Alolan Ninetales.png","Dazzling Gleam/Blizzard","44.24","0.41","Attacker","images/Moves/Alolan Ninetales - Dazzling Gleam.png","images/Moves/Alolan Ninetales - Blizzard.png","images/Battle_Items/Potion.png","22.37","40.44"
